user_id,name,email,neighborhood_id,age_group,gender,is_verified,is_active,notification_enabled,device_type,created_at,last_active_at
1,Janet Ross,dianasmith@example.org,18,25-34,Female,True,True,True,Mobile,2025-05-24 22:51:42,2025-09-19 21:51:15
2,Melissa Marshall,samanthamartinez@example.org,15,25-34,Female,True,True,True,Desktop,2024-12-25 20:29:22,2025-03-12 10:50:55
3,Linda Dodson DVM,jrivas@example.com,22,65+,Male,False,True,False,Desktop,2025-01-26 11:32:25,2025-08-29 19:53:34
4,David Wright,katie87@example.net,28,45-54,Female,True,True,True,Tablet,2025-06-09 04:38:27,2025-10-27 10:50:20
5,Cynthia Rogers,taylorjesse@example.net,48,45-54,Male,True,False,False,Tablet,2022-12-01 13:33:59,2024-04-02 20:43:46
6,Gary Owens,clarkrobert@example.net,20,45-54,Male,True,True,True,Tablet,2022-08-02 10:54:07,2023-04-22 19:19:32
7,Laura Woods,kenneth66@example.net,20,35-44,Female,True,True,False,Tablet,2025-08-16 22:43:47,2025-08-18 21:39:36
8,Connie Robinson,ytucker@example.com,31,55-64,Female,False,True,True,Tablet,2024-11-11 18:29:28,2025-06-16 13:13:32
9,Sara Calhoun,meadowsbrittany@example.net,44,25-34,Female,True,True,False,Tablet,2024-07-24 18:21:05,2025-09-03 20:48:15
10,Joel Williams,dmurphy@example.com,13,45-54,Male,True,True,False,Mobile,2022-02-07 20:04:29,2024-07-30 12:40:36
11,Trevor Fisher,ruizkaitlyn@example.org,30,18-24,Male,False,True,False,Tablet,2023-04-18 20:14:11,2025-08-20 20:44:33
12,Rachael Pearson,herringjames@example.org,29,45-54,Female,True,True,True,Mobile,2025-10-30 16:35:38,2025-11-15 11:48:57
13,Brian Gould,xlyons@example.com,41,25-34,Female,True,True,True,Tablet,2024-05-19 19:30:28,2024-10-03 09:15:53
14,Ashley Weiss,daniel04@example.net,9,25-34,Male,True,True,True,Desktop,2022-08-23 09:17:21,2024-08-26 10:34:05
15,Miguel Jones,curtisbarton@example.net,50,35-44,Female,False,True,True,Mobile,2024-08-05 16:26:03,2025-11-24 08:26:24
16,Dr. Hannah Patterson,casey50@example.com,27,35-44,Female,False,False,True,Desktop,2024-04-19 22:19:48,2024-07-01 11:57:53
17,Madison Poole,ryangross@example.net,26,45-54,Female,False,False,True,Desktop,2025-02-24 13:01:24,2025-03-27 10:43:51
18,Karen Graham,marcus31@example.com,30,25-34,Male,True,True,True,Desktop,2023-01-13 17:42:01,2025-05-24 07:27:08
19,Leonard Gray,snydermark@example.com,2,45-54,Male,False,True,True,Tablet,2025-05-18 10:53:26,2025-07-08 09:05:30
20,Spencer Haynes,angela83@example.org,10,25-34,Male,True,False,True,Desktop,2022-10-24 04:01:15,2025-04-26 09:01:39
21,Cynthia Alvarez,bwest@example.org,8,45-54,Male,True,True,False,Tablet,2022-12-04 20:10:38,2024-02-26 17:47:45
22,Matthew Wood,ronald85@example.com,38,45-54,Female,True,True,False,Tablet,2023-02-16 19:24:25,2024-04-08 22:12:04
23,Bryan Lee,newtonstephanie@example.net,28,45-54,Male,True,True,True,Desktop,2024-09-10 20:50:36,2025-01-12 20:22:34
24,Dr. William Warren,tina34@example.org,10,35-44,Female,False,True,False,Tablet,2022-09-17 07:23:40,2023-05-31 21:29:45
25,Beth Williams,tranheidi@example.org,21,55-64,Female,True,False,True,Desktop,2023-05-20 20:29:27,2024-02-28 20:37:17
26,Adam Mitchell,lalexander@example.org,21,25-34,Male,False,True,False,Tablet,2024-06-11 17:42:24,2025-07-31 10:31:54
27,Austin Vasquez,hernandezlisa@example.com,16,45-54,Female,False,True,True,Desktop,2022-12-20 21:35:00,2025-07-17 15:12:05
28,Jennifer Carlson,kimberlyjames@example.com,16,25-34,Female,True,True,True,Tablet,2022-04-30 14:01:05,2023-03-24 10:25:44
29,Keith Brown,mezajared@example.org,15,18-24,Male,True,True,False,Mobile,2023-02-20 16:22:44,2024-10-17 13:19:16
30,Juan Moore,mhayes@example.com,34,35-44,Prefer not to say,False,True,True,Desktop,2023-01-06 08:47:30,2023-04-03 09:37:48
31,Michele Gibson,sandrafrench@example.net,19,45-54,Male,False,True,False,Tablet,2023-02-12 01:34:08,2023-10-10 09:03:35
32,Brian Walker,rebekahserrano@example.org,31,18-24,Male,True,True,False,Mobile,2024-04-05 09:30:28,2025-08-15 10:03:16
33,Samantha Morse,smartinez@example.com,36,45-54,Female,False,True,True,Desktop,2022-03-25 08:36:19,2025-03-07 06:15:07
34,Katherine Miller,prestonjessica@example.net,37,45-54,Female,False,False,True,Mobile,2024-09-05 21:19:55,2025-11-18 17:27:19
35,Sara Johnston,keyemily@example.com,11,18-24,Male,True,True,True,Tablet,2022-12-17 10:05:10,2023-03-26 09:35:04
36,Joseph Ramos,howard96@example.net,17,55-64,Female,True,False,True,Tablet,2024-03-17 10:55:29,2025-07-16 06:14:59
37,Jason Morris,hodgemark@example.net,4,25-34,Male,False,True,True,Mobile,2025-02-13 09:09:58,2025-12-05 09:09:04
38,Philip Johnson,edwardsmarcus@example.com,35,35-44,Male,True,True,True,Desktop,2023-11-25 14:19:44,2025-04-05 12:17:32
39,Sean Murray,lopezmichael@example.com,2,65+,Female,True,True,False,Desktop,2025-04-25 02:14:43,2025-11-04 20:36:37
40,Joshua Pennington,fgilmore@example.org,41,55-64,Other,True,True,True,Mobile,2024-05-24 15:28:58,2025-07-31 09:37:27
41,Michelle Collins,tranchristopher@example.org,26,55-64,Female,True,True,True,Desktop,2022-02-10 21:21:26,2024-07-13 19:18:42
42,Kathleen Moran,robert77@example.org,27,18-24,Female,True,True,True,Mobile,2023-10-08 21:52:00,2024-01-09 18:34:29
43,Kyle Francis,michellehill@example.com,45,35-44,Male,True,True,False,Desktop,2023-10-02 08:35:08,2024-01-26 22:28:56
44,Aaron Barber,cgrimes@example.net,8,35-44,Male,False,True,False,Tablet,2023-04-21 16:35:26,2025-05-23 06:53:58
45,Jamie Cantu,tinaallen@example.com,30,35-44,Male,False,True,False,Mobile,2023-11-09 19:26:53,2024-07-20 15:30:15
46,Patrick Thornton,qhughes@example.net,33,25-34,Male,False,True,True,Tablet,2022-11-23 09:50:54,2025-04-08 12:59:50
47,Jonathan Lawrence,sawyerscott@example.net,36,45-54,Male,False,False,False,Mobile,2025-10-04 15:09:28,2025-11-08 16:22:21
48,Seth Booker,harrisontanya@example.com,48,35-44,Female,True,False,False,Tablet,2025-06-27 17:14:54,2025-06-29 20:02:20
49,Gary Craig,ofinley@example.net,7,55-64,Male,True,True,False,Desktop,2024-05-21 23:31:02,2025-01-03 07:37:21
